remote - - [01/Jul/1995:03:23:36 -0600] "GET 9186.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:03:24:13 -0600] "GET index.html HTTP/1.0" 200 2877
remote - - [01/Jul/1995:03:29:45 -0600] "GET 9187.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:03:32:27 -0600] "GET 9188.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:03:34:49 -0600] "GET 9189.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:03:36:39 -0600] "GET 9190.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:03:37:19 -0600] "GET 9191.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:03:41:15 -0600] "GET index.html HTTP/1.0" 200 10853
remote - - [01/Jul/1995:03:42:08 -0600] "GET 8412.gif HTTP/1.0" 200 147
remote - - [01/Jul/1995:03:42:14 -0600] "GET 3009.html HTTP/1.0" 200 8767
remote - - [01/Jul/1995:03:42:20 -0600] "GET 9192.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:03:43:41 -0600] "GET 9193.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:03:44:17 -0600] "GET 47.html HTTP/1.0" 200 540
remote - - [01/Jul/1995:03:44:28 -0600] "GET index.html HTTP/1.0" 302 -
remote - - [01/Jul/1995:03:44:29 -0600] "GET index.html HTTP/1.0" 200 3218
remote - - [01/Jul/1995:03:44:49 -0600] "GET 7184.html HTTP/1.0" 200 3584
remote - - [01/Jul/1995:03:46:50 -0600] "GET 8412.gif HTTP/1.0" 200 147
remote - - [01/Jul/1995:03:47:42 -0600] "GET 7381.html HTTP/1.0" 200 4533
remote - - [01/Jul/1995:03:48:44 -0600] "GET 6459.html HTTP/1.0" 200 692
remote - - [01/Jul/1995:03:49:13 -0600] "GET 3001.html HTTP/1.0" 200 11004
remote - - [01/Jul/1995:03:50:51 -0600] "GET 9194.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:03:53:51 -0600] "GET index.html HTTP/1.0" 200 5229
remote - - [01/Jul/1995:03:57:35 -0600] "GET 9195.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:03:44 -0600] "GET 8478.html HTTP/1.0" 200 7966
remote - - [01/Jul/1995:04:03:44 -0600] "GET 8460.gif HTTP/1.0" 200 2154
remote - - [01/Jul/1995:04:03:55 -0600] "GET 8472.gif HTTP/1.0" 200 479
remote - - [01/Jul/1995:04:03:56 -0600] "GET 8405.jpg HTTP/1.0" 200 14402
remote - - [01/Jul/1995:04:04:05 -0600] "GET 36.html HTTP/1.0" 200 2001
remote - - [01/Jul/1995:04:04:05 -0600] "HEAD 113.html HTTP/1.0" 200 0
remote - - [01/Jul/1995:04:04:05 -0600] "GET 8333.gif HTTP/1.0" 200 147
remote - - [01/Jul/1995:04:04:05 -0600] "GET 7702.gif HTTP/1.0" 200 1862
remote - - [01/Jul/1995:04:04:05 -0600] "GET 7703.gif HTTP/1.0" 200 1765
remote - - [01/Jul/1995:04:04:06 -0600] "GET 8401.gif HTTP/1.0" 200 1636
remote - - [01/Jul/1995:04:04:11 -0600] "GET 7704.gif HTTP/1.0" 200 1670
remote - - [01/Jul/1995:04:04:11 -0600] "GET 7706.gif HTTP/1.0" 200 1947
remote - - [01/Jul/1995:04:04:12 -0600] "GET 7708.gif HTTP/1.0" 200 1922
remote - - [01/Jul/1995:04:04:12 -0600] "GET 7707.gif HTTP/1.0" 200 1228
remote - - [01/Jul/1995:04:04:16 -0600] "GET 8308.gif HTTP/1.0" 200 1512
remote - - [01/Jul/1995:04:04:17 -0600] "GET 4097.gif HTTP/1.0" 200 1234
remote - - [01/Jul/1995:04:04:17 -0600] "GET 8492.gif HTTP/1.0" 200 1393
remote - - [01/Jul/1995:04:04:17 -0600] "GET 8493.gif HTTP/1.0" 200 1148
remote - - [01/Jul/1995:04:04:23 -0600] "GET 6733.gif HTTP/1.0" 200 469
remote - - [01/Jul/1995:04:06:56 -0600] "GET 9196.html/ HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:06:57 -0600] "GET 129.html HTTP/1.0" 200 1195
remote - - [01/Jul/1995:04:06:59 -0600] "GET 131.gif HTTP/1.0" 200 379
remote - - [01/Jul/1995:04:06:59 -0600] "GET 130.gif HTTP/1.0" 200 5881
remote - - [01/Jul/1995:04:07:34 -0600] "GET 7681.html HTTP/1.0" 200 4820
remote - - [01/Jul/1995:04:07:37 -0600] "GET 7701.gif HTTP/1.0" 200 6499
remote - - [01/Jul/1995:04:07:37 -0600] "GET 6733.gif HTTP/1.0" 200 469
remote - - [01/Jul/1995:04:07:38 -0600] "GET 7698.jpg HTTP/1.0" 200 9371
remote - - [01/Jul/1995:04:07:39 -0600] "GET 8216.gif HTTP/1.0" 200 906
remote - - [01/Jul/1995:04:07:41 -0600] "GET 8333.gif HTTP/1.0" 200 147
remote - - [01/Jul/1995:04:07:42 -0600] "GET 8308.gif HTTP/1.0" 200 1512
remote - - [01/Jul/1995:04:07:44 -0600] "GET 4097.gif HTTP/1.0" 200 1234
remote - - [01/Jul/1995:04:09:39 -0600] "GET 1728.gif HTTP/1.0" 200 4651
remote - - [01/Jul/1995:04:09:41 -0600] "GET 1729.html HTTP/1.0" 200 28975
remote - - [01/Jul/1995:04:09:42 -0600] "GET 136.gif HTTP/1.0" 200 1319
remote - - [01/Jul/1995:04:10:15 -0600] "GET 1844.html HTTP/1.0" 200 711
remote - - [01/Jul/1995:04:10:16 -0600] "GET 1845.gif HTTP/1.0" 200 1531
remote - - [01/Jul/1995:04:10:30 -0600] "GET 132.html HTTP/1.0" 200 6409
remote - - [01/Jul/1995:04:10:31 -0600] "GET 134.gif HTTP/1.0" 200 1765
remote - - [01/Jul/1995:04:10:31 -0600] "GET 135.gif HTTP/1.0" 200 1113
remote - - [01/Jul/1995:04:10:31 -0600] "GET 133.gif HTTP/1.0" 200 5357
remote - - [01/Jul/1995:04:10:58 -0600] "GET 9197.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:04:12:04 -0600] "GET 9198.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:16:20 -0600] "GET 28.html HTTP/1.0" 200 1682
remote - - [01/Jul/1995:04:16:49 -0600] "GET 2142.html HTTP/1.0" 200 887
remote - - [01/Jul/1995:04:25:03 -0600] "GET 9199.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:28:53 -0600] "GET 9200.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:30:48 -0600] "GET 9201.html/organizations/csus HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:30:58 -0600] "GET 9202.html/ HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:32:12 -0600] "GET 2105.html HTTP/1.0" 200 1389
remote - - [01/Jul/1995:04:32:32 -0600] "GET 9203.html/projects/GJ HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:32:38 -0600] "GET index.html HTTP/1.0" 200 541
remote - - [01/Jul/1995:04:33:24 -0600] "GET 9204.html HTTP/1.0" 404 -
remote - - [01/Jul/1995:04:33:56 -0600] "GET 9205.html HTTP/1.0" 403 -
remote - - [01/Jul/1995:04:40:34 -0600] "GET 8412.gif HTTP/1.0" 200 147
remote - - [01/Jul/1995:04:40:40 -0600] "GET 221.gif HTTP/1.0" 200 4878
remote - - [01/Jul/1995:04:41:04 -0600] "GET 220.html HTTP/1.0" 200 10853
remote - - [01/Jul/1995:04:41:17 -0600] "GET 223.gif HTTP/1.0" 200 12053
remote - - [01/Jul/1995:04:41:21 -0600] "GET 222.gif HTTP/1.0" 200 8046
remote - - [01/Jul/1995:04:59:55 -0600] "GET 267.html HTTP/1.0" 200 1567
local - - [01/Jul/1995:05:28:47 -0600] "GET 8571.html HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:49 -0600] "GET 8460.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:49 -0600] "GET 8463.jpg HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:49 -0600] "GET 8472.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:49 -0600] "GET 6734.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:50 -0600] "GET 8216.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:54 -0600] "GET 7714.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:54 -0600] "GET 8468.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:55 -0600] "GET 8466.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:55 -0600] "GET 7712.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:56 -0600] "GET 8467.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:56 -0600] "GET 8479.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:57 -0600] "GET 8469.jpg HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:58 -0600] "GET 8333.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:58 -0600] "GET 8470.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:58 -0600] "GET 8492.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:59 -0600] "GET 8493.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:28:59 -0600] "GET 8308.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:29:01 -0600] "GET 4097.gif HTTP/1.0" 304 0
local - - [01/Jul/1995:05:29:12 -0600] "GET 8489.html HTTP/1.0" 200 1715
local - - [01/Jul/1995:05:29:14 -0600] "GET 8874.gif HTTP/1.0" 200 2925
local - - [01/Jul/1995:05:29:28 -0600] "GET 8490.html HTTP/1.0" 200 16273
local - - [01/Jul/1995:05:29:30 -0600] "GET 6733.gif HTTP/1.0" 200 469
remote - - [01/Jul/1995:05:35:15 -0600] "GET 167.html HTTP/1.0" 200 1268
remote - - [01/Jul/1995:06:39:38 -0600] "GET 188.html HTTP/1.0" 200 2544
remote - - [01/Jul/1995:06:39:43 -0600] "GET 189.gif HTTP/1.0" 200 23379
remote - - [01/Jul/1995:06:40:57 -0600] "GET 306.html HTTP/1.0" 304 0
remote - - [01/Jul/1995:06:40:58 -0600] "GET 307.xbm HTTP/1.0" 304 0
remote - - [01/Jul/1995:06:41:04 -0600] "GET 305.xbm HTTP/1.0" 304 0
remote - - [01/Jul/1995:06:41:14 -0600] "GET 304.xbm HTTP/1.0" 304 0
remote - - [01/Jul/1995:06:41:20 -0600] "GET 627.html HTTP/1.0" 304 0
remote - - [01/Jul/1995:06:41:24 -0600] "GET 695.html HTTP/1.0" 304 0
remote - - [01/Jul/1995:06:41:29 -0600] "GET index.html HTTP/1.0" 302 -
remote - - [01/Jul/1995:06:41:31 -0600] "GET index.html HTTP/1.0" 200 7382
remote - - [01/Jul/1995:06:41:33 -0600] "GET 293.xbm HTTP/1.0" 200 506
remote - - [01/Jul/1995:06:41:34 -0600] "GET 342.xbm HTTP/1.0" 200 527
remote - - [01/Jul/1995:06:41:36 -0600] "GET 344.xbm HTTP/1.0" 200 509
remote - - [01/Jul/1995:06:41:37 -0600] "GET 292.xbm HTTP/1.0" 200 527
remote - - [01/Jul/1995:06:42:02 -0600] "GET 167.html HTTP/1.0" 200 1268
remote - - [01/Jul/1995:06:42:17 -0600] "GET 869.qt HTTP/1.0" 200 16384
remote - - [01/Jul/1995:06:42:25 -0600] "GET index.html HTTP/1.0" 302 -
